model,features,num_features,roc_auc,f1,accuracy,precision,recall
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,netRating_rest",5,0.6958337695841726,0.7275606300525044,0.6513810387117415,0.6604630049931911,0.8098330241187384
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_b2b,restDiff",6,0.6958332577165212,0.7284801195318337,0.6511677508798123,0.6591557758750187,0.814100185528757
Logistic Regression,"b2bDiff,closeGame,defRatingDiff,offRatingDiff",4,0.6958330715828298,0.7286010792860108,0.6513810387117415,0.6593538692712246,0.814100185528757
Logistic Regression,"b2bDiff,defRatingDiff,netRatingDiff",3,0.6958330250494069,0.7282409718755201,0.6517009704596353,0.660229330114665,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,offRatingDiff",7,0.6958327458488698,0.7289066400399401,0.6525541217873521,0.6608328304164152,0.8126159554730983
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,netRating_rest,offRatingDiff",6,0.6958324666483325,0.7275,0.6512743947957769,0.6603630862329803,0.8098330241187384
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,netRatingDiff,netRating_b2b,netRating_rest,offRatingDiff",7,0.695831954780681,0.7273333889398615,0.6513810387117415,0.6607061676011516,0.8089053803339518
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRating_rest,offRatingDiff",5,0.6958318617138352,0.7277120479920013,0.6514876826277061,0.6604658197217181,0.810204081632653
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff,offRatingDiff,restDiff",8,0.6958316290467209,0.7287853577371048,0.6523408339554229,0.6606334841628959,0.8126159554730983
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,offRatingDiff,restDiff",7,0.6958313963796066,0.7287853577371048,0.6523408339554229,0.6606334841628959,0.8126159554730983
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRating_b2b,netRating_rest,offRatingDiff",6,0.6958312567793381,0.7271211868644775,0.6508478191319185,0.6601089588377724,0.8092764378478664
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRatingDiff",6,0.6958312102459152,0.7286653900591125,0.6524474778713875,0.6609273523636913,0.811873840445269
Logistic Regression,"b2bDiff,closeGame,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",6,0.6958310241122236,0.7285405943881786,0.6512743947957769,0.6592548076923077,0.814100185528757
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_rest",6,0.6958310241122236,0.7272575669140332,0.6511677508798123,0.6604573678630925,0.8090909090909091
Logistic Regression,"b2bDiff,defRatingDiff,netRatingDiff,netRating_b2b",4,0.6958307914451094,0.7281198003327787,0.6514876826277061,0.6600301659125188,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,netRatingDiff,netRating_rest,offRatingDiff",6,0.6958306983782637,0.727303042934556,0.6511677508798123,0.6604087812263437,0.8092764378478664
Logistic Regression,"b2bDiff,closeGame,close_b2b,netRatingDiff,offRatingDiff,restDiff",6,0.6958305587779952,0.7302691511387164,0.6526607657033167,0.6595362752430816,0.8179962894248608
Logistic Regression,"b2bDiff,defRatingDiff,netRating_b2b,offRatingDiff",4,0.695830558777995,0.7281803810633164,0.6515943265436707,0.6601297329914014,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRating_b2b,offRatingDiff",7,0.6958303261108808,0.7287105635561475,0.6524474778713875,0.6608787558508229,0.8120593692022263
Logistic Regression,"b2bDiff,defRatingDiff,offRatingDiff",3,0.6958300469103436,0.7282409718755201,0.6517009704596353,0.660229330114665,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,defRatingDiff,netRating_b2b,offRatingDiff,restDiff",8,0.6958298607766521,0.728589263420724,0.6522341900394583,0.6606792452830189,0.8120593692022263
Logistic Regression,"absNetRatingDiff,b2bDiff,defRatingDiff,netRatingDiff,netRating_b2b,netRating_rest,offRatingDiff",7,0.6958297677098064,0.7270756918972991,0.6508478191319185,0.6601574326369967,0.8090909090909091
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,close_b2b,netRatingDiff,offRatingDiff",6,0.6958296281095379,0.7288770498626488,0.6526607657033167,0.6610297448286275,0.8122448979591836
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRatingDiff,netRating_rest,offRatingDiff",7,0.6958295350426921,0.7271514342895263,0.6510611069638477,0.6604059375946683,0.8089053803339518
Logistic Regression,"b2bDiff,netRatingDiff,offRatingDiff",3,0.6958293023755777,0.7281803810633164,0.6515943265436707,0.6601297329914014,0.811873840445269
Logistic Regression,"absNetRatingDiff,b2bDiff,netRatingDiff,netRating_b2b,netRating_rest,offRatingDiff",6,0.6958292558421549,0.7271817954488622,0.6509544630478831,0.6602088693809596,0.8092764378478664
Logistic Regression,"b2bDiff,netRatingDiff,netRating_b2b,offRatingDiff",4,0.6958291627753092,0.7281803810633164,0.6515943265436707,0.6601297329914014,0.811873840445269
